StatisticalTable,17.Macro Economic Analysis
ItemNames1,  International Reserves
Unit,Thou.U$
Conversion,Original Data
1971/01,"593,845"
1971/02,"566,473"
1971/03,"570,047"
1971/04,"570,295"
1971/05,"573,831"
1971/06,"581,458"
1971/07,"578,871"
1971/08,"575,308"
1971/09,"572,022"
1971/10,"565,585"
1971/11,"571,818"
1971/12,"568,087"
1972/01,"578,587"
1972/02,"566,273"
1972/03,"579,251"
1972/04,"564,532"
1972/05,"578,280"
1972/06,"610,703"
1972/07,"618,216"
1972/08,"661,262"
1972/09,"685,694"
1972/10,"709,931"
1972/11,"712,297"
1972/12,"739,745"
1973/01,"745,039"
1973/02,"737,658"
1973/03,"758,310"
1973/04,"814,456"
1973/05,"863,061"
1973/06,"899,786"
1973/07,"916,498"
1973/08,"934,678"
1973/09,"1,032,234"
1973/10,"1,046,302"
1973/11,"1,054,983"
1973/12,"1,094,407"
1974/01,"1,075,107"
1974/02,"1,050,733"
1974/03,"1,031,061"
1974/04,"1,056,600"
1974/05,"1,055,432"
1974/06,"1,044,816"
1974/07,"1,045,101"
1974/08,"1,013,476"
1974/09,"1,015,854"
1974/10,"1,015,933"
1974/11,"1,010,261"
1974/12,"1,055,650"
1975/01,"943,752"
1975/02,"922,579"
1975/03,"886,979"
1975/04,"963,587"
1975/05,"981,936"
1975/06,"1,097,315"
1975/07,"1,138,693"
1975/08,"1,235,076"
1975/09,"1,271,224"
1975/10,"1,368,425"
1975/11,"1,449,592"
1975/12,"1,550,180"
1976/01,"1,527,109"
1976/02,"1,559,548"
1976/03,"1,702,601"
1976/04,"1,772,670"
1976/05,"1,911,085"
1976/06,"2,044,260"
1976/07,"2,128,377"
1976/08,"2,263,667"
1976/09,"2,374,307"
1976/10,"2,586,533"
1976/11,"2,601,549"
1976/12,"2,960,635"
1977/01,"2,883,158"
1977/02,"2,872,256"
1977/03,"3,212,462"
1977/04,"3,247,709"
1977/05,"3,519,575"
1977/06,"3,502,502"
1977/07,"3,656,324"
1977/08,"3,765,626"
1977/09,"4,039,912"
1977/10,"4,246,161"
1977/11,"4,143,670"
1977/12,"4,306,365"
1978/01,"4,418,320"
1978/02,"4,376,149"
1978/03,"4,269,134"
1978/04,"4,138,188"
1978/05,"4,101,489"
1978/06,"4,198,501"
1978/07,"4,297,283"
1978/08,"4,353,459"
1978/09,"4,544,362"
1978/10,"4,334,440"
1978/11,"4,418,117"
1978/12,"4,937,100"
1979/01,"4,696,102"
1979/02,"4,621,022"
1979/03,"4,743,378"
1979/04,"4,658,732"
1979/05,"4,936,688"
1979/06,"5,058,165"
1979/07,"5,015,179"
1979/08,"5,168,828"
1979/09,"5,394,460"
1979/10,"5,549,437"
1979/11,"5,531,978"
1979/12,"5,708,139"
1980/01,"5,328,400"
1980/02,"5,367,391"
1980/03,"5,577,446"
1980/04,"5,415,459"
1980/05,"5,557,815"
1980/06,"5,419,394"
1980/07,"6,051,728"
1980/08,"6,066,995"
1980/09,"6,613,502"
1980/10,"6,406,047"
1980/11,"6,604,161"
1980/12,"6,571,437"
1981/01,"6,031,373"
1981/02,"6,206,620"
1981/03,"6,032,791"
1981/04,"6,086,455"
1981/05,"5,658,360"
1981/06,"6,206,684"
1981/07,"5,614,935"
1981/08,"5,718,369"
1981/09,"5,726,227"
1981/10,"5,949,646"
1981/11,"6,392,465"
1981/12,"6,891,036"
1982/01,"6,315,146"
1982/02,"6,240,958"
1982/03,"6,297,560"
1982/04,"6,468,546"
1982/05,"6,504,731"
1982/06,"6,349,468"
1982/07,"6,105,181"
1982/08,"6,072,103"
1982/09,"6,146,312"
1982/10,"6,324,163"
1982/11,"6,452,003"
1982/12,"6,983,715"
1983/01,"6,432,604"
1983/02,"6,030,673"
1983/03,"6,000,833"
1983/04,"5,920,948"
1983/05,"6,297,781"
1983/06,"6,017,332"
1983/07,"6,396,278"
1983/08,"6,226,616"
1983/09,"6,312,895"
1983/10,"6,131,166"
1983/11,"6,496,750"
1983/12,"6,909,661"
1984/01,"6,303,751"
1984/02,"6,388,056"
1984/03,"6,329,416"
1984/04,"6,308,968"
1984/05,"6,408,533"
1984/06,"6,742,226"
1984/07,"6,470,028"
1984/08,"6,841,546"
1984/09,"6,911,641"
1984/10,"6,845,362"
1984/11,"7,128,107"
1984/12,"7,649,584"
1985/01,"6,759,989"
1985/02,"6,882,565"
1985/03,"6,698,333"
1985/04,"6,643,324"
1985/05,"6,581,131"
1985/06,"6,652,155"
1985/07,"6,692,637"
1985/08,"6,812,279"
1985/09,"7,174,784"
1985/10,"7,569,808"
1985/11,"7,723,518"
1985/12,"7,748,625"
1986/01,"7,064,164"
1986/02,"7,234,719"
1986/03,"7,360,210"
1986/04,"7,405,851"
1986/05,"7,350,525"
1986/06,"7,573,963"
1986/07,"8,172,521"
1986/08,"8,069,479"
1986/09,"8,146,111"
1986/10,"8,034,340"
1986/11,"8,059,912"
1986/12,"7,955,240"
1987/01,"8,343,882"
1987/02,"8,404,614"
1987/03,"7,885,723"
1987/04,"7,965,536"
1987/05,"8,014,394"
1987/06,"8,100,397"
1987/07,"8,249,843"
1987/08,"8,131,748"
1987/09,"8,511,314"
1987/10,"8,525,003"
1987/11,"9,479,688"
1987/12,"9,192,886"
1988/01,"4,701,747"
1988/02,"5,675,415"
1988/03,"6,995,788"
1988/04,"7,675,521"
1988/05,"8,264,637"
1988/06,"9,015,283"
1988/07,"9,592,419"
1988/08,"10,715,969"
1988/09,"11,758,452"
1988/10,"12,689,279"
1988/11,"13,774,303"
1988/12,"12,378,262"
1989/01,"13,404,526"
1989/02,"13,494,113"
1989/03,"14,122,179"
1989/04,"14,913,803"
1989/05,"15,728,134"
1989/06,"15,803,329"
1989/07,"17,071,478"
1989/08,"16,657,496"
1989/09,"17,076,873"
1989/10,"17,425,211"
1989/11,"17,397,401"
1989/12,"15,245,248"
1990/01,"13,952,833"
1990/02,"13,743,647"
1990/03,"13,892,850"
1990/04,"14,448,440"
1990/05,"14,868,747"
1990/06,"14,673,745"
1990/07,"15,628,023"
1990/08,"15,844,517"
1990/09,"15,919,419"
1990/10,"16,153,859"
1990/11,"16,150,475"
1990/12,"14,822,377"
1991/01,"14,023,487"
1991/02,"14,137,362"
1991/03,"13,013,408"
1991/04,"13,217,007"
1991/05,"13,638,790"
1991/06,"13,417,239"
1991/07,"13,727,448"
1991/08,"13,380,248"
1991/09,"13,887,843"
1991/10,"13,579,702"
1991/11,"13,615,867"
1991/12,"13,733,019"
1992/01,"14,023,488"
1992/02,"14,512,814"
1992/03,"14,458,310"
1992/04,"15,061,498"
1992/05,"15,328,164"
1992/06,"14,557,317"
1992/07,"15,232,653"
1992/08,"16,010,249"
1992/09,"15,421,046"
1992/10,"15,703,107"
1992/11,"16,806,492"
1992/12,"17,153,925"
1993/01,"17,852,277"
1993/02,"18,077,200"
1993/03,"18,672,114"
1993/04,"19,200,681"
1993/05,"19,157,089"
1993/06,"18,922,383"
1993/07,"18,793,759"
1993/08,"18,951,140"
1993/09,"19,698,359"
1993/10,"19,995,250"
1993/11,"21,463,286"
1993/12,"20,262,400"
1994/01,"20,544,420"
1994/02,"20,743,546"
1994/03,"20,754,982"
1994/04,"21,013,831"
1994/05,"21,402,776"
1994/06,"21,718,950"
1994/07,"21,546,067"
1994/08,"22,030,400"
1994/09,"22,376,400"
1994/10,"23,717,100"
1994/11,"24,023,700"
1994/12,"25,672,700"
1995/01,"26,280,400"
1995/02,"26,400,677"
1995/03,"26,567,600"
1995/04,"27,294,200"
1995/05,"27,817,500"
1995/06,"28,381,900"
1995/07,"30,950,200"
1995/08,"31,173,300"
1995/09,"31,189,100"
1995/10,"32,168,400"
1995/11,"33,223,800"
1995/12,"32,712,100"
1996/01,"33,263,979"
1996/02,"35,115,029"
1996/03,"33,451,065"
1996/04,"35,929,963"
1996/05,"36,240,501"
1996/06,"36,561,522"
1996/07,"35,061,985"
1996/08,"33,557,025"
1996/09,"32,837,031"
1996/10,"32,228,776"
1996/11,"32,317,492"
1996/12,"33,236,696"
1997/01,"30,966,254"
1997/02,"29,755,967"
1997/03,"29,145,830"
1997/04,"29,830,833"
1997/05,"31,900,526"
1997/06,"33,316,236"
1997/07,"33,672,625"
1997/08,"31,140,457"
1997/09,"30,425,700"
1997/10,"30,509,096"
1997/11,"24,404,306"
1997/12,"20,405,458"
1998/01,"23,515,486"
1998/02,"26,715,238"
1998/03,"29,748,952"
1998/04,"35,544,078"
1998/05,"38,761,164"
1998/06,"40,900,461"
1998/07,"43,022,134"
1998/08,"45,091,301"
1998/09,"46,977,412"
1998/10,"48,833,908"
1998/11,"50,015,238"
1998/12,"52,040,827"
1999/01,"53,597,833"
1999/02,"55,456,770"
1999/03,"57,450,792"
1999/04,"59,263,890"
1999/05,"61,409,325"
1999/06,"61,987,062"
1999/07,"64,944,463"
1999/08,"64,782,273"
1999/09,"65,480,127"
1999/10,"66,214,040"
1999/11,"69,681,116"
1999/12,"74,054,541"
2000/01,"76,999,820"
2000/02,"79,726,833"
2000/03,"83,648,210"
2000/04,"84,612,868"
2000/05,"86,819,839"
2000/06,"90,178,599"
2000/07,"90,353,996"
2000/08,"91,434,450"
2000/09,"92,534,872"
2000/10,"92,697,246"
2000/11,"93,343,327"
2000/12,"96,198,117"
2001/01,"95,417,917"
2001/02,"95,333,963"
2001/03,"94,444,438"
2001/04,"93,479,222"
2001/05,"93,634,283"
2001/06,"94,255,502"
2001/07,"97,059,397"
2001/08,"99,024,887"
2001/09,"100,083,950"
2001/10,"100,474,334"
2001/11,"101,653,126"
2001/12,"102,821,378"
2002/01,"104,302,472"
2002/02,"105,092,240"
2002/03,"106,091,936"
2002/04,"107,655,488"
2002/05,"109,629,728"
2002/06,"112,438,445"
2002/07,"115,494,950"
2002/08,"116,539,197"
2002/09,"116,689,612"
2002/10,"116,994,998"
2002/11,"118,331,168"
2002/12,"121,412,508"
2003/01,"122,905,239"
2003/02,"123,988,245"
2003/03,"123,824,501"
2003/04,"123,619,255"
2003/05,"128,341,567"
2003/06,"131,659,858"
2003/07,"132,906,096"
2003/08,"136,189,263"
2003/09,"141,534,784"
2003/10,"143,319,542"
2003/11,"150,339,165"
2003/12,"155,352,365"
2004/01,"157,449,639"
2004/02,"163,007,125"
2004/03,"163,556,904"
2004/04,"163,635,258"
2004/05,"166,542,607"
2004/06,"167,029,696"
2004/07,"168,006,423"
2004/08,"170,491,958"
2004/09,"174,448,100"
2004/10,"178,388,313"
2004/11,"192,602,268"
2004/12,"199,066,133"
2005/01,"199,699,277"
2005/02,"202,162,426"
2005/03,"205,447,299"
2005/04,"206,376,404"
2005/05,"206,100,363"
2005/06,"204,985,923"
2005/07,"205,684,605"
2005/08,"206,712,212"
2005/09,"206,731,180"
2005/10,"207,307,269"
2005/11,"208,230,252"
2005/12,"210,390,703"
2006/01,"216,932,905"
2006/02,"215,949,925"
2006/03,"217,344,329"
2006/04,"222,890,019"
2006/05,"224,689,153"
2006/06,"224,357,276"
2006/07,"225,715,888"
2006/08,"227,024,881"
2006/09,"228,224,315"
2006/10,"229,461,022"
2006/11,"234,256,939"
2006/12,"238,956,116"
2007/01,"240,228,757"
2007/02,"242,812,021"
2007/03,"243,915,438"
2007/04,"247,259,663"
2007/05,"250,741,103"
2007/06,"250,701,619"
2007/07,"254,838,621"
2007/08,"255,301,804"
2007/09,"257,293,573"
2007/10,"260,138,379"
2007/11,"261,927,965"
2007/12,"262,224,070"
2008/01,"261,870,733"
2008/02,"262,364,808"
2008/03,"264,245,660"
2008/04,"260,482,546"
2008/05,"258,198,958"
2008/06,"258,097,988"
2008/07,"247,522,666"
2008/08,"243,200,303"
2008/09,"239,671,786"
2008/10,"212,252,810"
2008/11,"200,505,915"
2008/12,"201,223,413"
2009/01,"201,741,003"
2009/02,"201,534,628"
2009/03,"206,340,481"
2009/04,"212,478,021"
2009/05,"226,766,307"
2009/06,"231,734,629"
2009/07,"237,509,692"
2009/08,"245,458,538"
2009/09,"254,247,250"
2009/10,"264,187,192"
2009/11,"270,892,261"
2009/12,"269,994,736"
2010/01,"273,693,584"
2010/02,"270,659,721"
2010/03,"272,331,061"
2010/04,"278,873,477"
2010/05,"270,221,038"
2010/06,"274,218,706"
2010/07,"285,957,848"
2010/08,"285,353,120"
2010/09,"289,775,214"
2010/10,"293,347,790"
2010/11,"290,230,708"
2010/12,"291,570,661"
2011/01,"295,956,219"
2011/02,"297,667,285"
2011/03,"298,617,571"
2011/04,"307,198,549"
2011/05,"305,083,958"
2011/06,"304,484,573"
2011/07,"311,030,779"
2011/08,"312,194,523"
2011/09,"303,383,685"
2011/10,"310,975,985"
2011/11,"308,631,299"
2011/12,"306,402,488"
2012/01,"311,340,552"
2012/02,"315,803,644"
2012/03,"315,951,551"
2012/04,"316,836,857"
2012/05,"310,871,842"
2012/06,"312,378,022"
2012/07,"314,348,164"
2012/08,"316,884,505"
2012/09,"322,014,520"
2012/10,"323,461,424"
2012/11,"326,091,468"
2012/12,"326,968,393"
2013/01,"328,910,278"
2013/02,"327,395,341"
2013/03,"327,408,423"
2013/04,"328,799,477"
2013/05,"328,095,419"
2013/06,"326,439,981"
2013/07,"329,709,314"
2013/08,"331,093,643"
2013/09,"336,921,772"
2013/10,"343,225,517"
2013/11,"345,011,747"
2013/12,"346,459,569"
2014/01,"348,393,811"
2014/02,"351,791,760"
2014/03,"354,341,349"
2014/04,"355,845,420"
2014/05,"360,912,745"
2014/06,"366,545,511"
2014/07,"368,026,376"
2014/08,"367,534,108"
2014/09,"364,406,672"
2014/10,"363,723,405"
2014/11,"363,095,393"
2014/12,"363,592,748"
2015/01,"362,186,186"
2015/02,"362,370,074"
2015/03,"362,750,264"
2015/04,"369,902,086"
2015/05,"371,505,613"
2015/06,"374,749,258"
2015/07,"370,822,336"
2015/08,"367,938,017"
2015/09,"368,113,633"
2015/10,"369,600,626"
2015/11,"368,463,398"
2015/12,"367,961,865"
2016/01,"367,293,330"
2016/02,"365,758,112"
2016/03,"369,839,889"
2016/04,"372,481,509"
2016/05,"370,896,643"
2016/06,"369,889,849"
2016/07,"371,383,929"
2016/08,"375,459,420"
2016/09,"377,770,474"
2016/10,"375,166,658"
2016/11,"371,985,331"
2016/12,"371,101,605"
2017/01,"374,036,338"
2017/02,"373,908,551"
2017/03,"375,302,146"
2017/04,"376,573,253"
2017/05,"378,456,235"
2017/06,"380,568,047"
2017/07,"383,755,561"
2017/08,"384,839,045"
2017/09,"384,673,968"
2017/10,"384,462,718"
2017/11,"387,251,220"
