Category: All categories,
,
Month,north korea: (South Korea)
2004-01,22
2004-02,23
2004-03,15
2004-04,27
2004-05,24
2004-06,21
2004-07,24
2004-08,25
2004-09,24
2004-10,27
2004-11,40
2004-12,32
2005-01,25
2005-02,44
2005-03,28
2005-04,31
2005-05,60
2005-06,44
2005-07,33
2005-08,29
2005-09,30
2005-10,20
2005-11,33
2005-12,29
2006-01,30
2006-02,22
2006-03,22
2006-04,23
2006-05,29
2006-06,38
2006-07,56
2006-08,32
2006-09,23
2006-10,97
2006-11,39
2006-12,27
2007-01,19
2007-02,16
2007-03,15
2007-04,17
2007-05,20
2007-06,20
2007-07,21
2007-08,18
2007-09,17
2007-10,24
2007-11,16
2007-12,16
2008-01,22
2008-02,24
2008-03,20
2008-04,19
2008-05,22
2008-06,31
2008-07,23
2008-08,22
2008-09,26
2008-10,22
2008-11,26
2008-12,22
2009-01,21
2009-02,34
2009-03,39
2009-04,56
2009-05,44
2009-06,58
2009-07,29
2009-08,25
2009-09,35
2009-10,31
2009-11,29
2009-12,30
2010-01,24
2010-02,24
2010-03,32
2010-04,35
2010-05,72
2010-06,63
2010-07,27
2010-08,27
2010-09,14
2010-10,13
2010-11,53
2010-12,27
2011-01,11
2011-02,14
2011-03,16
2011-04,14
2011-05,13
2011-06,14
2011-07,12
2011-08,11
2011-09,12
2011-10,11
2011-11,10
2011-12,19
2012-01,8
2012-02,7
2012-03,9
2012-04,24
2012-05,11
2012-06,9
2012-07,12
2012-08,9
2012-09,9
2012-10,9
2012-11,9
2012-12,15
2013-01,10
2013-02,19
2013-03,47
2013-04,100
2013-05,19
2013-06,13
2013-07,11
2013-08,8
2013-09,11
2013-10,10
2013-11,10
2013-12,13
2014-01,11
2014-02,9
2014-03,13
2014-04,14
2014-05,11
2014-06,9
2014-07,10
2014-08,8
2014-09,11
2014-10,14
2014-11,10
2014-12,13
2015-01,9
2015-02,7
2015-03,9
2015-04,8
2015-05,11
2015-06,9
2015-07,7
2015-08,39
2015-09,9
2015-10,10
2015-11,9
2015-12,8
2016-01,20
2016-02,20
2016-03,21
2016-04,14
2016-05,14
2016-06,11
2016-07,12
2016-08,15
2016-09,16
2016-10,12
2016-11,10
2016-12,8
2017-01,8
2017-02,12
2017-03,13
2017-04,48
2017-05,20
2017-06,15
2017-07,17
2017-08,30
2017-09,45
2017-10,25
2017-11,19
2017-12,23
